customer_id,region,customer_segment
20151,South,Consumer
20152,East,Small Business
20153,East,Consumer
20154,Central,Corporate
20155,Central,Consumer
20156,Central,Small Business
20157,North,Small Business
20158,West,Consumer
20159,North,Consumer
20160,West,Small Business
20161,Central,Small Business
20162,South,Consumer
20163,East,Consumer
20164,Central,Small Business
20165,East,Consumer
20166,West,Consumer
20167,Central,Consumer
20168,North,Corporate
20169,Central,Small Business
20170,West,Consumer
20171,South,Consumer
20172,Central,Consumer
20173,South,Corporate
20174,East,Consumer
20175,East,Consumer
20176,West,Small Business
20177,Central,Small Business
20178,North,Consumer
20179,South,Consumer
20180,Central,Consumer
20181,East,Consumer
20182,West,Consumer
20183,Central,Small Business
20184,East,Consumer
20185,West,Small Business
20186,West,Small Business
20187,South,Consumer
20188,East,Corporate
20189,East,Consumer
20190,East,Consumer
20191,East,Consumer
20192,South,Small Business
20193,East,Small Business
20194,North,Consumer
20195,Central,Consumer
20196,South,Consumer
20197,Central,Corporate
20198,Central,Consumer
20199,South,Consumer
20200,Central,Consumer
20201,Central,Consumer
20202,Central,Consumer
20203,South,Consumer
20204,South,Consumer
20205,Central,Consumer
20206,West,Consumer
20207,Central,Corporate
20208,West,Consumer
20209,Central,Small Business
20210,Central,Consumer
20211,North,Corporate
20212,East,Small Business
20213,West,Corporate
20214,West,Small Business
20215,Central,Small Business
20216,Central,Consumer
20217,West,Small Business
20218,West,Consumer
20219,North,Consumer
20220,East,Consumer
20221,East,Small Business
20222,Central,Consumer
20223,Central,Corporate
20224,East,Consumer
20225,West,Small Business
20226,Central,Consumer
20227,East,Small Business
20228,South,Corporate
20229,South,Small Business
20230,West,Corporate
20231,Central,Small Business
20232,North,Consumer
20233,North,Consumer
20234,North,Consumer
20235,Central,Consumer
20236,North,Consumer
20237,Central,Consumer
20238,South,Consumer
20239,East,Small Business
20240,West,Consumer
20241,North,Corporate
20242,South,Consumer
20243,South,Consumer
20244,East,Corporate
20245,East,Corporate
20246,West,Consumer
20247,North,Corporate
20248,Central,Small Business
20249,Central,Consumer
20250,Central,Small Business
20251,North,Consumer
20252,Central,Consumer
20253,West,Consumer
20254,Central,Consumer
20255,West,Consumer
20256,Central,Small Business
20257,East,Consumer
20258,Central,Small Business
20259,Central,Consumer
20260,West,Consumer
20261,South,Small Business
20262,Central,Small Business
20263,East,Consumer
20264,West,Small Business
20265,South,Consumer
20266,West,Small Business
20267,South,Small Business
20268,Central,Corporate
20269,East,Consumer
20270,West,Consumer
20271,South,Corporate
20272,South,Consumer
20273,West,Consumer
20274,Central,Corporate
20275,East,Small Business
20276,East,Consumer
20277,North,Consumer
20278,South,Consumer
20279,West,Small Business
20280,West,Corporate
20281,West,Consumer
20282,West,Consumer
20283,West,Small Business
20284,Central,Corporate
20285,South,Small Business
20286,East,Small Business
20287,West,Consumer
20288,West,Consumer
20289,North,Consumer
20290,South,Consumer
20291,Central,Consumer
20292,West,Consumer
20293,South,Consumer
20294,East,Small Business
20295,South,Small Business
20296,South,Consumer
20297,South,Corporate
20298,East,Consumer
20299,South,Small Business
20300,North,Small Business
20301,Central,Consumer
20302,East,Corporate
20303,West,Small Business
20304,Central,Consumer
20305,Central,Consumer
20306,South,Corporate
20307,West,Corporate
20308,Central,Small Business
20309,Central,Consumer
20310,South,Consumer
20311,Central,Consumer
20312,South,Small Business
20313,East,Small Business
20314,South,Consumer
20315,Central,Consumer
20316,South,Small Business
20317,Central,Corporate
20318,West,Small Business
20319,South,Consumer
20320,North,Small Business
20321,South,Small Business
20322,Central,Small Business
20323,Central,Corporate
20324,North,Consumer
20325,South,Consumer
20326,South,Small Business
20327,Central,Corporate
20328,East,Small Business
20329,Central,Consumer
20330,East,Consumer
20331,North,Small Business
20332,South,Consumer
20333,South,Corporate
20334,West,Consumer
20335,Central,Small Business
20336,West,Consumer
20337,North,Consumer
20338,West,Consumer
20339,South,Consumer
20340,West,Consumer
20341,East,Small Business
20342,North,Corporate
20343,Central,Consumer
20344,Central,Corporate
20345,North,Corporate
20346,South,Consumer
20347,West,Consumer
20348,South,Small Business
20349,Central,Consumer
20350,South,Small Business
20351,West,Small Business
20352,West,Consumer
20353,South,Consumer
20354,Central,Consumer
20355,North,Small Business
20356,Central,Consumer
20357,West,Consumer
20358,North,Consumer
20359,Central,Small Business
20360,Central,Consumer
20361,Central,Small Business
20362,West,Small Business
20363,Central,Small Business
20364,North,Corporate
20365,South,Consumer
20366,West,Consumer
20367,East,Consumer
20368,Central,Consumer
20369,Central,Consumer
20370,West,Corporate
20371,South,Corporate
20372,North,Consumer
20373,West,Corporate
20374,East,Consumer
20375,Central,Consumer
20376,South,Small Business
20377,South,Consumer
20378,South,Small Business
20379,South,Corporate
20380,East,Consumer
20381,Central,Corporate
20382,East,Consumer
20383,West,Consumer
20384,East,Consumer
20385,West,Corporate
20386,West,Consumer
20387,Central,Small Business
20388,South,Corporate
20389,Central,Small Business
20390,Central,Consumer
20391,North,Small Business
20392,East,Consumer
20393,East,Consumer
20394,West,Corporate
20395,Central,Consumer
20396,North,Small Business
20397,Central,Small Business
20398,East,Consumer
20399,Central,Small Business
20400,South,Consumer
20401,South,Consumer
20402,Central,Small Business
20403,South,Consumer
20404,Central,Small Business
20405,Central,Consumer
20406,Central,Consumer
20407,South,Small Business
20408,East,Small Business
20409,North,Consumer
20410,South,Consumer
20411,North,Consumer
20412,Central,Consumer
20413,South,Corporate
20414,Central,Small Business
20415,West,Consumer
20416,East,Consumer
20417,North,Consumer
20418,West,Consumer
20419,Central,Small Business
20420,South,Consumer
20421,South,Consumer
20422,West,Consumer
20423,West,Consumer
20424,Central,Consumer
20425,West,Consumer
20426,West,Consumer
20427,South,Consumer
20428,South,Consumer
20429,West,Consumer
20430,North,Consumer
20431,South,Corporate
20432,West,Small Business
20433,Central,Small Business
20434,Central,Consumer
20435,Central,Consumer
20436,North,Consumer
20437,East,Consumer
20438,East,Consumer
20439,South,Small Business
20440,Central,Consumer
20441,Central,Small Business
20442,Central,Consumer
20443,North,Consumer
20444,West,Small Business
20445,East,Small Business
20446,Central,Corporate
20447,Central,Consumer
20448,Central,Consumer
20449,South,Small Business
20450,Central,Consumer
20451,West,Consumer
20452,South,Corporate
20453,West,Consumer
20454,East,Consumer
20455,West,Consumer
20456,West,Corporate
20457,West,Small Business
20458,Central,Small Business
20459,Central,Consumer
20460,East,Consumer
20461,North,Consumer
20462,South,Corporate
20463,Central,Corporate
20464,Central,Small Business
20465,North,Small Business
20466,South,Consumer
20467,East,Consumer
20468,Central,Small Business
20469,North,Consumer
20470,East,Consumer
20471,West,Consumer
20472,Central,Consumer
20473,East,Consumer
20474,Central,Consumer
20475,South,Consumer
20476,East,Small Business
20477,Central,Corporate
20478,South,Consumer
20479,North,Consumer
20480,North,Consumer
20481,Central,Consumer
20482,East,Small Business
20483,Central,Small Business
20484,Central,Consumer
20485,Central,Corporate
20486,Central,Consumer
20487,South,Consumer
20488,Central,Consumer
20489,East,Small Business
20490,West,Consumer
20491,South,Consumer
20492,Central,Consumer
20493,East,Consumer
20494,Central,Small Business
20495,East,Small Business
20496,Central,Consumer
20497,West,Small Business
20498,West,Consumer
20499,South,Small Business
20500,Central,Small Business
20501,Central,Consumer
20502,North,Small Business
20503,East,Consumer
20504,Central,Small Business
20505,South,Consumer
20506,Central,Consumer
20507,Central,Consumer
20508,Central,Consumer
20509,East,Consumer
20510,South,Consumer
20511,West,Consumer
20512,West,Consumer
20513,Central,Consumer
20514,North,Small Business
20515,East,Small Business
20516,West,Consumer
20517,West,Corporate
20518,South,Consumer
20519,Central,Consumer
20520,North,Small Business
20521,Central,Consumer
20522,West,Consumer
20523,Central,Small Business
20524,North,Small Business
20525,Central,Consumer
20526,East,Consumer
20527,Central,Corporate
20528,North,Consumer
20529,North,Consumer
20530,Central,Consumer
20531,West,Consumer
20532,Central,Consumer
20533,Central,Consumer
20534,West,Consumer
20535,North,Corporate
20536,South,Corporate
20537,West,Consumer
20538,North,Small Business
20539,North,Consumer
20540,Central,Consumer
20541,Central,Small Business
20542,West,Consumer
20543,North,Consumer
20544,Central,Consumer
20545,East,Small Business
20546,North,Small Business
20547,Central,Small Business
20548,North,Consumer
20549,West,Consumer
20550,Central,Consumer
20551,Central,Consumer
20552,East,Small Business
20553,South,Small Business
20554,South,Consumer
20555,West,Corporate
20556,Central,Consumer
20557,South,Consumer
20558,Central,Consumer
20559,Central,Corporate
20560,Central,Small Business
20561,Central,Consumer
20562,West,Consumer
20563,North,Small Business
20564,Central,Consumer
20565,East,Consumer
20566,North,Small Business
20567,Central,Consumer
20568,North,Consumer
20569,Central,Consumer
20570,North,Consumer
20571,North,Corporate
20572,East,Consumer
20573,South,Consumer
20574,South,Consumer
20575,East,Consumer
20576,Central,Consumer
20577,South,Small Business
20578,South,Consumer
20579,South,Consumer
20580,Central,Corporate
20581,Central,Consumer
20582,Central,Consumer
20583,Central,Consumer
20584,South,Small Business
20585,West,Consumer
20586,West,Corporate
20587,East,Consumer
20588,East,Consumer
20589,Central,Consumer
20590,West,Corporate
20591,West,Consumer
20592,Central,Consumer
20593,South,Consumer
20594,West,Consumer
20595,North,Consumer
20596,North,Consumer
20597,South,Consumer
20598,Central,Consumer
20599,Central,Consumer
20600,Central,Consumer
20601,North,Consumer
20602,North,Consumer
20603,East,Consumer
20604,East,Consumer
20605,North,Consumer
20606,East,Small Business
20607,Central,Small Business
20608,Central,Small Business
20609,South,Consumer
20610,North,Corporate
20611,South,Small Business
20612,Central,Corporate
20613,West,Consumer
20614,Central,Consumer
20615,Central,Corporate
20616,East,Corporate
20617,East,Consumer
20618,North,Small Business
20619,North,Consumer
20620,West,Consumer
20621,West,Corporate
20622,Central,Consumer
20623,North,Consumer
20624,South,Corporate
20625,South,Small Business
20626,Central,Consumer
20627,South,Small Business
20628,South,Consumer
20629,West,Consumer
20630,South,Consumer
20631,Central,Consumer
20632,Central,Consumer
20633,South,Small Business
20634,North,Small Business
20635,South,Small Business
20636,Central,Small Business
20637,Central,Small Business
20638,Central,Corporate
20639,South,Consumer
20640,Central,Small Business
20641,Central,Consumer
20642,West,Corporate
20643,West,Small Business
20644,North,Consumer
20645,South,Small Business
20646,Central,Consumer
20647,West,Consumer
20648,Central,Consumer
20649,Central,Small Business
20650,Central,Consumer
20651,Central,Small Business
20652,West,Consumer
20653,Central,Consumer
20654,South,Consumer
20655,West,Consumer
20656,Central,Consumer
20657,South,Corporate
20658,North,Consumer
20659,West,Small Business
20660,East,Consumer
20661,Central,Consumer
20662,Central,Small Business
20663,South,Consumer
20664,East,Corporate
20665,East,Consumer
20666,East,Consumer
20667,West,Corporate
20668,Central,Consumer
20669,West,Corporate
20670,Central,Small Business
20671,South,Consumer
20672,South,Consumer
20673,South,Consumer
20674,Central,Corporate
20675,West,Small Business
20676,Central,Consumer
20677,East,Small Business
20678,South,Corporate
20679,Central,Consumer
20680,Central,Consumer
20681,East,Small Business
20682,West,Corporate
20683,South,Small Business
20684,West,Consumer
20685,East,Consumer
20686,South,Consumer
20687,East,Small Business
20688,Central,Small Business
20689,West,Consumer
20690,South,Corporate
20691,East,Consumer
20692,East,Consumer
20693,East,Small Business
20694,West,Corporate
20695,South,Consumer
20696,North,Consumer
20697,North,Consumer
20698,West,Small Business
20699,Central,Consumer
20700,Central,Consumer
20701,North,Consumer
20702,West,Corporate
20703,Central,Consumer
20704,Central,Consumer
20705,East,Consumer
20706,South,Consumer
20707,North,Corporate
20708,Central,Small Business
20709,South,Small Business
20710,West,Consumer
20711,Central,Consumer
20712,West,Consumer
20713,East,Consumer
20714,South,Consumer
20715,Central,Consumer
20716,West,Small Business
20717,Central,Consumer
20718,Central,Corporate
20719,West,Consumer
20720,East,Consumer
20721,Central,Consumer
20722,South,Consumer
20723,South,Small Business
20724,West,Corporate
20725,Central,Consumer
20726,Central,Consumer
20727,West,Corporate
20728,East,Consumer
20729,East,Small Business
20730,West,Corporate
20731,East,Consumer
20732,Central,Consumer
20733,Central,Small Business
20734,Central,Small Business
20735,South,Consumer
20736,South,Corporate
20737,East,Small Business
20738,Central,Consumer
20739,Central,Consumer
20740,Central,Corporate
20741,Central,Corporate
20742,North,Consumer
20743,North,Consumer
20744,Central,Consumer
20745,South,Consumer
20746,Central,Consumer
20747,Central,Corporate
20748,North,Consumer
20749,East,Consumer
20750,East,Corporate
20751,Central,Consumer
20752,Central,Consumer
20753,West,Consumer
20754,East,Consumer
20755,South,Consumer
20756,South,Consumer
20757,South,Consumer
20758,West,Consumer
20759,East,Small Business
20760,South,Consumer
20761,Central,Corporate
20762,East,Small Business
20763,North,Consumer
20764,Central,Small Business
20765,South,Consumer
20766,East,Consumer
20767,South,Consumer
20768,Central,Small Business
20769,South,Consumer
20770,West,Consumer
20771,North,Small Business
20772,Central,Corporate
20773,East,Corporate
20774,Central,Corporate
20775,Central,Consumer
20776,South,Consumer
20777,Central,Consumer
20778,East,Consumer
20779,West,Corporate
20780,South,Corporate
20781,South,Small Business
20782,West,Small Business
20783,West,Corporate
20784,South,Consumer
20785,West,Consumer
20786,East,Corporate
20787,Central,Consumer
20788,Central,Consumer
20789,Central,Small Business
20790,North,Corporate
20791,Central,Small Business
20792,West,Consumer
20793,North,Consumer
20794,Central,Consumer
20795,East,Consumer
20796,South,Consumer
20797,Central,Consumer
20798,West,Small Business
20799,South,Small Business
20800,North,Consumer
20801,West,Consumer
20802,East,Consumer
20803,West,Consumer
20804,East,Small Business
20805,East,Consumer
20806,West,Consumer
20807,West,Corporate
20808,South,Consumer
20809,North,Consumer
20810,West,Consumer
20811,North,Corporate
20812,South,Corporate
20813,West,Consumer
20814,West,Consumer
20815,Central,Consumer
20816,South,Consumer
20817,East,Small Business
20818,East,Small Business
20819,Central,Corporate
20820,West,Consumer
20821,East,Consumer
20822,Central,Consumer
20823,East,Consumer
20824,North,Small Business
20825,West,Consumer
20826,Central,Corporate
20827,Central,Consumer
20828,North,Consumer
20829,Central,Consumer
20830,South,Corporate
20831,Central,Consumer
20832,Central,Consumer
20833,West,Consumer
20834,South,Consumer
20835,Central,Consumer
20836,Central,Consumer
20837,Central,Consumer
20838,Central,Consumer
20839,East,Small Business
20840,West,Small Business
20841,Central,Corporate
20842,East,Consumer
20843,East,Consumer
20844,East,Corporate
20845,West,Corporate
20846,West,Consumer
20847,South,Consumer
20848,Central,Consumer
20849,South,Consumer
20850,West,Consumer
20851,North,Corporate
20852,Central,Corporate
20853,Central,Consumer
20854,West,Small Business
20855,West,Consumer
20856,South,Consumer
20857,Central,Consumer
20858,South,Corporate
20859,Central,Consumer
20860,Central,Consumer
20861,Central,Small Business
20862,Central,Consumer
20863,Central,Small Business
20864,Central,Consumer
20865,East,Consumer
20866,Central,Consumer
20867,West,Consumer
20868,South,Consumer
20869,Central,Consumer
20870,North,Corporate
20871,South,Consumer
20872,Central,Corporate
20873,Central,Consumer
20874,Central,Consumer
20875,West,Consumer
20876,Central,Consumer
20877,South,Small Business
20878,Central,Consumer
20879,South,Consumer
20880,Central,Consumer
20881,South,Consumer
20882,West,Small Business
20883,West,Consumer
20884,South,Corporate
20885,Central,Consumer
20886,West,Corporate
20887,South,Small Business
20888,Central,Small Business
20889,East,Small Business
20890,South,Consumer
20891,East,Small Business
20892,North,Consumer
20893,North,Consumer
20894,North,Consumer
20895,North,Consumer
20896,North,Consumer
20897,West,Small Business
20898,Central,Small Business
20899,Central,Small Business
20900,East,Small Business
20901,East,Consumer
20902,South,Consumer
20903,Central,Small Business
20904,Central,Consumer
20905,South,Consumer
20906,West,Consumer
20907,West,Consumer
20908,East,Consumer
20909,North,Consumer
20910,East,Consumer
20911,West,Consumer
20912,West,Consumer
20913,South,Consumer
20914,Central,Consumer
20915,East,Consumer
20916,Central,Small Business
20917,Central,Small Business
20918,East,Consumer
20919,Central,Consumer
20920,East,Consumer
20921,East,Consumer
20922,West,Consumer
20923,East,Corporate
20924,West,Small Business
20925,West,Consumer
20926,South,Consumer
20927,West,Consumer
20928,Central,Small Business
20929,West,Consumer
20930,Central,Corporate
20931,East,Small Business
20932,West,Consumer
20933,Central,Consumer
20934,East,Consumer
20935,East,Consumer
20936,South,Corporate
20937,Central,Small Business
20938,East,Consumer
20939,East,Consumer
20940,Central,Consumer
20941,South,Corporate
20942,East,Consumer
20943,West,Consumer
20944,East,Corporate
20945,West,Consumer
20946,Central,Small Business
20947,West,Corporate
20948,North,Consumer
20949,West,Consumer
20950,South,Consumer
20951,East,Consumer
20952,South,Corporate
20953,North,Small Business
20954,Central,Small Business
20955,West,Consumer
20956,East,Small Business
20957,East,Consumer
20958,East,Consumer
20959,Central,Consumer
20960,South,Small Business
20961,West,Corporate
20962,Central,Small Business
20963,Central,Consumer
20964,West,Corporate
20965,East,Corporate
20966,Central,Small Business
20967,West,Small Business
20968,North,Consumer
20969,Central,Small Business
20970,Central,Corporate
20971,West,Small Business
20972,Central,Corporate
20973,West,Consumer
20974,Central,Consumer
20975,Central,Corporate
20976,West,Corporate
20977,South,Consumer
20978,Central,Corporate
20979,West,Consumer
20980,North,Consumer
20981,North,Consumer
20982,South,Corporate
20983,West,Corporate
20984,East,Consumer
20985,Central,Corporate
20986,West,Consumer
20987,Central,Corporate
20988,Central,Corporate
20989,West,Small Business
20990,East,Consumer
20991,Central,Consumer
20992,North,Consumer
20993,South,Consumer
20994,South,Consumer
20995,West,Small Business
20996,North,Consumer
20997,South,Small Business
20998,Central,Consumer
20999,West,Consumer
21000,West,Consumer
21001,South,Small Business
21002,Central,Consumer
21003,Central,Consumer
21004,Central,Small Business
21005,Central,Consumer
21006,North,Consumer
21007,North,Consumer
21008,Central,Consumer
21009,North,Consumer
21010,South,Small Business
21011,Central,Corporate
21012,Central,Consumer
21013,West,Small Business
21014,East,Consumer
21015,Central,Small Business
21016,North,Small Business
21017,Central,Corporate
21018,Central,Consumer
21019,Central,Consumer
21020,North,Consumer
21021,South,Consumer
21022,South,Consumer
21023,North,Consumer
21024,North,Small Business
21025,North,Small Business
21026,Central,Consumer
21027,Central,Small Business
21028,Central,Consumer
21029,South,Consumer
21030,North,Consumer
21031,Central,Consumer
21032,Central,Consumer
21033,West,Consumer
21034,East,Consumer
21035,Central,Consumer
21036,South,Corporate
21037,Central,Consumer
21038,Central,Consumer
21039,Central,Small Business
21040,South,Consumer
21041,Central,Consumer
21042,North,Small Business
21043,East,Corporate
21044,Central,Consumer
21045,South,Small Business
21046,Central,Small Business
21047,South,Consumer
21048,West,Consumer
21049,Central,Small Business
21050,North,Small Business
21051,North,Consumer
21052,East,Corporate
21053,Central,Consumer
21054,Central,Small Business
21055,Central,Consumer
21056,West,Consumer
21057,South,Consumer
21058,South,Consumer
21059,Central,Consumer
21060,North,Consumer
21061,East,Consumer
21062,South,Corporate
21063,East,Small Business
21064,South,Corporate
21065,South,Consumer
21066,East,Consumer
21067,South,Consumer
21068,West,Consumer
21069,Central,Consumer
21070,Central,Consumer
21071,North,Corporate
21072,North,Consumer
21073,Central,Consumer
21074,Central,Corporate
21075,West,Consumer
21076,South,Consumer
21077,Central,Consumer
21078,East,Consumer
21079,West,Small Business
21080,Central,Corporate
21081,Central,Consumer
21082,East,Small Business
21083,North,Consumer
21084,Central,Small Business
21085,Central,Small Business
21086,Central,Consumer
21087,West,Small Business
21088,South,Corporate
21089,North,Small Business
21090,Central,Consumer
21091,East,Consumer
21092,South,Consumer
21093,West,Consumer
21094,Central,Consumer
21095,East,Consumer
21096,West,Corporate
21097,Central,Consumer
21098,East,Small Business
21099,North,Corporate
21100,Central,Consumer
21101,North,Consumer
21102,West,Small Business
21103,North,Corporate
21104,South,Consumer
21105,South,Consumer
21106,East,Small Business
21107,Central,Consumer
21108,Central,Consumer
21109,West,Consumer
21110,Central,Small Business
21111,North,Consumer
21112,East,Consumer
21113,Central,Consumer
21114,Central,Corporate
21115,Central,Consumer
21116,West,Consumer
21117,North,Corporate
21118,West,Consumer
21119,Central,Corporate
21120,Central,Consumer
21121,West,Consumer
21122,North,Small Business
21123,South,Consumer
21124,East,Consumer
21125,Central,Consumer
21126,South,Small Business
21127,West,Consumer
21128,North,Consumer
21129,Central,Consumer
21130,Central,Corporate
21131,South,Consumer
21132,Central,Consumer
21133,Central,Corporate
21134,Central,Consumer
21135,South,Consumer
21136,East,Consumer
21137,West,Small Business
21138,South,Corporate
21139,Central,Small Business
21140,Central,Consumer
21141,Central,Small Business
21142,South,Consumer
21143,West,Corporate
21144,Central,Consumer
21145,South,Consumer
21146,West,Small Business
21147,South,Consumer
21148,East,Small Business
21149,Central,Consumer
21150,West,Consumer
21151,Central,Small Business
21152,Central,Consumer
21153,Central,Consumer
21154,Central,Small Business
21155,Central,Small Business
21156,East,Consumer
21157,South,Consumer
21158,West,Consumer
21159,West,Small Business
21160,East,Small Business
21161,Central,Consumer
21162,Central,Corporate
21163,West,Consumer
21164,West,Small Business
21165,Central,Consumer
21166,South,Consumer
21167,North,Consumer
21168,East,Consumer
21169,West,Consumer
21170,East,Consumer
21171,North,Consumer
21172,Central,Corporate
21173,West,Small Business
21174,West,Consumer
21175,North,Consumer
21176,Central,Corporate
21177,Central,Consumer
21178,South,Corporate
21179,Central,Consumer
21180,Central,Corporate
21181,South,Small Business
21182,South,Consumer
21183,South,Consumer
21184,West,Consumer
21185,North,Small Business
21186,South,Consumer
21187,East,Small Business
21188,Central,Small Business
21189,Central,Small Business
21190,North,Consumer
21191,South,Corporate
21192,West,Consumer
21193,South,Small Business
21194,West,Consumer
21195,South,Consumer
21196,North,Corporate
21197,West,Consumer
21198,Central,Small Business
21199,West,Consumer
21200,South,Consumer
21201,East,Small Business
21202,Central,Consumer
21203,Central,Consumer
21204,Central,Consumer
21205,Central,Consumer
21206,East,Consumer
21207,South,Consumer
21208,South,Consumer
21209,West,Small Business
21210,Central,Small Business
21211,North,Small Business
21212,North,Consumer
21213,East,Consumer
21214,Central,Small Business
21215,Central,Consumer
21216,East,Consumer
21217,West,Consumer
21218,West,Small Business
21219,Central,Small Business
21220,Central,Consumer
21221,Central,Consumer
21222,West,Consumer
21223,East,Small Business
21224,West,Consumer
21225,East,Consumer
21226,South,Consumer
21227,Central,Small Business
21228,West,Consumer
21229,East,Consumer
21230,East,Consumer
21231,Central,Small Business
21232,East,Corporate
21233,North,Consumer
21234,South,Small Business
21235,South,Consumer
21236,Central,Small Business
21237,South,Small Business
21238,South,Small Business
21239,East,Consumer
21240,East,Consumer
21241,Central,Consumer
21242,Central,Consumer
21243,Central,Small Business
21244,Central,Small Business
21245,South,Consumer
21246,North,Consumer
21247,Central,Consumer
21248,Central,Corporate
21249,West,Small Business
21250,West,Corporate
21251,West,Consumer
21252,Central,Consumer
21253,North,Small Business
21254,East,Corporate
21255,East,Consumer
21256,East,Consumer
21257,East,Small Business
21258,South,Small Business
21259,East,Small Business
21260,East,Small Business
21261,South,Corporate
21262,Central,Consumer
21263,Central,Small Business
21264,West,Small Business
21265,South,Consumer
21266,North,Corporate
21267,Central,Consumer
21268,Central,Small Business
21269,East,Consumer
21270,Central,Consumer
21271,West,Consumer
21272,South,Consumer
21273,Central,Consumer
21274,North,Small Business
21275,West,Consumer
21276,South,Small Business
21277,East,Corporate
21278,East,Consumer
21279,West,Consumer
21280,West,Consumer
21281,Central,Consumer
21282,West,Small Business
21283,South,Consumer
21284,North,Small Business
21285,West,Consumer
21286,North,Small Business
21287,West,Small Business
21288,West,Corporate
21289,West,Consumer
21290,North,Consumer
21291,Central,Consumer
21292,West,Consumer
21293,North,Small Business
21294,East,Consumer
21295,East,Consumer
21296,East,Consumer
21297,South,Corporate
21298,East,Consumer
21299,Central,Consumer
21300,South,Consumer
21301,East,Consumer
21302,Central,Consumer
21303,West,Consumer
21304,South,Consumer
21305,Central,Small Business
21306,Central,Corporate
21307,Central,Consumer
21308,West,Small Business
21309,West,Consumer
21310,East,Consumer
21311,West,Consumer
21312,West,Consumer
21313,North,Consumer
21314,Central,Consumer
21315,North,Consumer
21316,Central,Consumer
21317,West,Small Business
21318,North,Corporate
21319,West,Consumer
21320,East,Consumer
21321,North,Consumer
21322,Central,Corporate
21323,Central,Small Business
21324,West,Consumer
21325,Central,Consumer
21326,Central,Consumer
21327,South,Consumer
21328,North,Consumer
21329,Central,Consumer
21330,South,Small Business
21331,North,Small Business
21332,West,Consumer
21333,North,Consumer
21334,West,Small Business
21335,Central,Corporate
21336,South,Corporate
21337,West,Consumer
21338,Central,Consumer
21339,Central,Corporate
21340,South,Consumer
21341,South,Consumer
21342,East,Small Business
21343,West,Consumer
21344,Central,Small Business
21345,Central,Corporate
21346,Central,Consumer
21347,North,Consumer
21348,Central,Consumer
21349,Central,Consumer
21350,West,Consumer
21351,South,Small Business
